Region	'Gordon_107_roi'	'Gordon_108_roi'	'Gordon_109_roi'	'Gordon_110_roi'	'Gordon_113_roi'	'Gordon_114_roi'	'Gordon_115_roi'	'Gordon_121_roi'	'Gordon_133_roi'	'Gordon_149_roi'	'Gordon_154_roi'	'Gordon_155_roi'	'Gordon_156_roi'	'Gordon_167_roi'	'Gordon_168_roi'	'Gordon_170_roi'	'Gordon_182_roi'	'Gordon_200_roi'	'Gordon_211_roi'	'Gordon_219_roi'	'Gordon_236_roi'	'Gordon_240_roi'	'Gordon_247_roi'	'Gordon_24_roi'	'Gordon_250_roi'	'Gordon_253_roi'	'Gordon_254_roi'	'Gordon_257_roi'	'Gordon_259_roi'	'Gordon_260_roi'	'Gordon_261_roi'	'Gordon_272_roi'	'Gordon_273_roi'	'Gordon_275_roi'	'Gordon_276_roi'	'Gordon_277_roi'	'Gordon_284_roi'	'Gordon_302_roi'	'Gordon_319_roi'	'Gordon_320_roi'	'Gordon_326_roi'	'Gordon_327_roi'	'Gordon_328_roi'	'Gordon_52_roi'	'Gordon_63_roi'	'Gordon_74_roi'	'Gordon_78_roi'	'Gordon_7_roi'	'Gordon_88_roi'	'Gordon_93_roi'	'Gordon_94_roi'	'Gordon_95_roi'	'Gordon_96_roi'	'Gordon_9_roi'
'Gordon_116_roi'	-0.051145469	0.087029152	0.033630696	-0.143526882	-0.091645585	0.071860097	0.152469809	0.140142808	0.040564836	-0.002060208	0.183364264	-0.105234716	0.068790053	-0.158380455	-0.108433741	-0.031396233	-0.090464366	-0.024366671	-0.19523218	-0.234187903	-0.212125216	0.101311756	-0.087282116	0.066461886	-0.115525361	-0.062628071	-0.171606731	-0.109173892	0.170573593	-0.124740209	-0.117408852	0.046191096	-0.083982274	-0.235366131	-0.021407872	0.105236283	0.181163706	0.028838985	0.083816821	-0.076935246	-0.001466651	-0.007028379	-0.100967027	-0.182004	-0.234050061	-0.066524181	0.165262688	-0.026545836	-0.122944208	-0.089980085	0.303114684	0.015191303	-0.065704098	0.000783279
'Gordon_119_roi'	0.096694814	0.100107714	0.127092248	0.135438862	0.121982662	0.032920621	0.012841618	0.055088991	0.096877942	0.038348115	0.076961127	0.001349184	0.052614949	-0.058987786	0.028129678	0.057432201	0.055279077	-0.100992357	-0.071235746	-0.055220985	0.031973597	0.056748575	0.05738894	0.154804473	0.108220013	-0.024193077	-0.122929433	-0.116185852	-0.031895593	-0.057439999	-0.020619526	-0.064366152	0.047710465	0.036705412	0.039191661	-0.055052098	-0.024839299	-0.011963185	-0.061275868	-0.057522725	-0.071286984	-0.04887586	-0.056308275	0.022009377	0.0629183	0.246910615	0.184775648	0.071506352	0.042404333	-0.085215207	0.083723037	0.051053887	0.054368069	0.182256582
'Gordon_126_roi'	0.078626666	0.255271908	0.207103707	-0.058529981	-0.001924576	0.16669424	0.210137852	0.09739473	0.174310733	0.126528887	0.106159174	0.04133064	0.129979318	0.069735681	0.000770252	0.172770832	0.090427883	0.029341044	-0.039928183	0.034430347	-0.029333463	0.197299458	0.041152445	0.291205952	-0.010919937	-0.055823759	-0.076176319	-0.034794174	0.156915471	0.055350279	-0.010954652	0.155148189	0.074014062	-0.068195298	-0.005600393	0.116311404	0.038500138	0.127772887	0.074871148	0.074317172	0.046217596	0.169931027	0.088904539	-0.01205507	0.080528428	0.050481158	0.29012334	0.102412391	-0.079038288	-0.0650012	0.296646513	0.029670008	0.153758732	0.184874838
'Gordon_127_roi'	0.053192367	0.199302608	0.160334346	-0.179472518	-0.070617076	0.086538296	0.093334408	-0.020895404	0.071342508	0.016410905	0.131078271	-0.06957698	0.085239483	-0.08799547	-0.137117288	0.071505454	-0.016058956	-0.020483082	-0.148101442	-0.127079147	-0.214127203	0.088871773	-0.046326779	0.178278284	-0.073806533	-0.106485155	-0.163758702	-0.088736222	0.183820375	-0.064677289	-0.112205133	0.058665144	0.008334098	-0.159158054	0.017125789	0.036996039	-0.038767745	0.073004535	0.054032531	-0.047735551	0.017431032	0.085844064	0.00476013	-0.143720402	-0.075888259	-0.03355334	0.152054601	-0.025555239	-0.151725587	-0.142067243	0.312830095	-0.005566469	-0.01026378	0.083321938
'Gordon_128_roi'	-0.014855293	0.22623545	0.095272098	-0.109262724	-0.071271445	0.128472277	0.15233881	0.098542012	0.110195346	0.053138317	0.158524499	0.008602339	0.116955791	0.022913017	-0.039103711	0.104109605	0.048383782	0.035612123	-0.097475227	-0.026503918	-0.093134707	0.175370689	-0.036458068	0.253706982	-0.014514338	-0.097577679	-0.164953771	-0.095280208	0.171700677	-0.02020098	-0.07012731	0.191314501	0.004679409	-0.115026424	-0.034992813	0.117678414	0.050256723	0.133545221	0.081050296	-0.000268314	0.042142401	0.177051832	0.057749172	-0.087128773	-0.007886032	-0.003575683	0.253005203	0.009371937	-0.153805084	-0.132738309	0.313592151	-0.048901597	0.01537191	0.108884406
'Gordon_129_roi'	0.032546931	0.177742806	0.131715461	-0.194990654	-0.072279754	0.057029089	0.081595216	0.023448655	0.036799083	0.040609433	0.069190715	-0.075312711	0.026834371	-0.109657253	-0.158933702	0.068025656	0.010063551	-0.06676975	-0.138351008	-0.127825621	-0.196662516	0.0688658	-0.064406886	0.186387037	-0.044508838	-0.101701571	-0.160334313	-0.091131215	0.065611549	-0.091664674	-0.092948342	0.048098174	-0.035545129	-0.145024811	-0.03277974	0.003974172	0.007660643	0.028020191	-0.016333259	-0.100862095	-0.024809974	0.086407064	0.036534254	-0.158248259	-0.060183568	-0.010768208	0.163492238	-0.044484565	-0.123301299	-0.15724777	0.167490639	-0.069478914	-0.015687282	0.137084889
'Gordon_12_roi'	-0.052846437	0.076092657	0.028702475	0.042255707	-0.047427357	0.092830138	0.143632817	0.083050509	0.079785503	0.09396632	0.106036113	0.064565883	0.0781689	0.096055231	0.114411343	0.041174127	0.087359008	0.067939968	0.016170641	0.121309897	0.070841732	0.069151699	0.057783187	0.108507748	-0.022094248	0.006203297	0.208194881	0.06789041	0.18555907	0.156509328	0.04661693	0.13717001	0.034281455	-0.085286978	-0.038318722	0.126118659	0.044009436	0.066982956	0.17767126	0.084682641	0.037205914	0.110011351	0.028813106	0.029657677	0.051859342	-0.034431084	0.082542435	0.110062871	-0.058183839	0.148901533	0.223734879	0.05166531	0.173406136	0.054291165
'Gordon_145_roi'	0.026352757	0.383524193	0.185955717	-0.027295184	0.023874503	0.193597455	0.210662619	0.093768693	0.141694003	0.127005818	0.254059968	0.097367803	0.223629396	-0.042966337	-0.074332434	0.045999225	0.026457937	0.033472475	-0.149139185	-0.121746828	-0.105952853	0.134180349	-0.080589746	0.332266788	-0.022287261	-0.129013908	-0.237345578	-0.135597438	0.119647073	-0.056257464	-0.093059399	0.18034653	-0.012267752	-0.167371646	-0.05625593	0.06680245	-0.019413151	0.053569149	0.0991292	-0.045728814	0.05068077	0.130382609	0.014030182	-0.029733226	0.005353568	0.1015212	0.352647092	0.110381169	-0.109116006	-0.135869027	0.36991727	0.046049249	0.066384855	0.141701423
'Gordon_146_roi'	-0.032020177	0.31305473	0.16543138	0.025702386	-0.040129797	0.310350848	0.262159686	0.141328767	0.016103974	0.289274372	0.197477541	0.204566032	0.106187062	-0.033156655	0.001449188	-0.043231544	0.084242621	0.009740644	-0.109519619	-0.007991335	-0.058566373	0.067349269	-0.04097159	0.332785746	0.013162585	-0.15400327	-0.08906277	-0.042760247	0.009553921	-0.026159303	-0.117369937	0.184781018	-0.013025652	-0.166549912	-0.085726084	0.096834586	0.01435695	0.032669025	0.168978246	0.07238456	-0.033369637	0.086900213	0.044926881	-0.03525994	0.073795402	0.058154119	0.243653844	0.172465233	-0.15811345	-0.047274123	0.227023551	-0.076040052	0.029802296	0.057348009
'Gordon_148_roi'	0.034158623	0.294567261	0.216185609	0.124178036	0.010177378	0.476893598	0.396098303	0.197780282	0.15419955	0.391451919	0.209311598	0.187526456	0.280127669	0.061146825	0.110013425	0.028032469	0.099857903	0.140374941	-0.017612972	0.006650481	0.048565293	0.077983536	0.085003999	0.251361172	-0.052281085	-0.010472297	0.079165972	0.025899623	0.188343519	0.095088067	0.001706249	0.196311886	0.119658186	-0.083440305	-0.029530545	0.261123142	0.068311854	0.031328491	0.432875903	0.22608994	0.101054652	0.135218609	0.033129643	0.082947012	0.032833946	0.091293978	0.270266153	0.266718511	-0.019091968	0.118546669	0.393609361	0.136007383	0.227539226	0.080890295
'Gordon_150_roi'	-0.057744829	0.228045893	0.067675178	-0.133130385	-0.09036507	0.161355139	0.166563327	0.040272439	0.018292976	0.120633052	0.195100577	-0.001630803	0.079918769	-0.110916002	-0.093402259	-0.043228988	0.053876494	-0.009908122	-0.214952726	-0.080167595	-0.178753272	0.082349506	-0.045052568	0.333804444	-0.039148619	-0.189081048	-0.214787508	-0.139508044	0.087656295	-0.140694166	-0.185380766	0.148085982	-0.068518349	-0.202402103	-0.048209376	0.054599868	-0.036212866	0.018590709	0.110205398	-0.016734524	-0.033023524	0.092673631	0.025061366	-0.189492797	-0.052166005	-0.002035985	0.192065612	0.030917397	-0.243898059	-0.148583908	0.280857977	-0.121013768	-0.090150585	0.026120184
'Gordon_151_roi'	-0.015866164	0.286144489	0.148775548	-0.018577195	-0.05376651	0.231763374	0.16812758	0.069503385	0.063183765	0.187185045	0.185741326	0.061521253	0.175875989	-0.055911135	-0.00898177	-0.016990795	0.061243735	0.008214419	-0.126275262	-0.044298103	-0.094715933	0.088297527	-0.035304848	0.255196208	-0.017157872	-0.119596099	-0.107642269	-0.042054311	0.097771621	-0.047693273	-0.095109834	0.144923252	-0.018787937	-0.127384959	-0.041254081	0.059074242	0.023013899	0.038493276	0.174306884	0.059152652	0.015337133	0.07237313	-0.025750197	-0.070607654	0.014229643	0.070086322	0.225157195	0.132206606	-0.102304819	-0.026548349	0.320376987	-0.001107718	0.046198713	0.082899446
