Region	'Gordon_107_roi'	'Gordon_108_roi'	'Gordon_109_roi'	'Gordon_110_roi'	'Gordon_113_roi'	'Gordon_114_roi'	'Gordon_115_roi'	'Gordon_121_roi'	'Gordon_133_roi'	'Gordon_149_roi'	'Gordon_154_roi'	'Gordon_155_roi'	'Gordon_156_roi'	'Gordon_52_roi'	'Gordon_63_roi'	'Gordon_74_roi'	'Gordon_78_roi'	'Gordon_7_roi'	'Gordon_88_roi'	'Gordon_93_roi'	'Gordon_94_roi'	'Gordon_95_roi'	'Gordon_96_roi'	'Gordon_9_roi'	'Gordon_24_roi'
'Gordon_107_roi'		0.1705364	0.264449048	0.143837341	0.22435055	0.071496894	0.028361983	0.03304536	0.106553253	0.092335543	0.03600673	0.074869634	0.108514007	0.125857864	0.098904358	0.189878443	0.126659846	0.084844032	0.167475525	0.090640005	0.048352516	0.100752046	0.1550181	0.115215722	0.133370379
'Gordon_108_roi'	0.1705364		0.488871939	0.068225429	0.106546186	0.265678877	0.265975753	0.153546125	0.249839327	0.175449453	0.178902705	0.239306468	0.309445516	0.201953938	0.095517308	0.214961846	0.468322003	0.182892626	0.059280712	0.0700209	0.401685809	0.188131209	0.346942825	0.223785445	0.43260396
'Gordon_109_roi'	0.264449048	0.488871939		0.176699609	0.355801963	0.24178001	0.126442713	0.04993468	0.281748316	0.213784994	0.152142078	0.199801705	0.356770897	0.293258833	0.093345634	0.390051496	0.433660827	0.186747493	0.248128192	0.108107246	0.361024416	0.323088798	0.460793671	0.244427415	0.376422951
'Gordon_110_roi'	0.143837341	0.068225429	0.176699609		0.231765316	0.160752257	0.087048419	0.154290386	0.163618118	0.277202181	0.102851523	0.42096679	0.155377741	0.330960097	0.446654486	0.535338942	0.180455371	0.552088875	0.1422843	0.19132686	0.038722034	0.143427411	0.259271213	0.177066785	0.151424188
'Gordon_113_roi'	0.22435055	0.106546186	0.355801963	0.231765316		0.035547024	-0.038436302	0.009988377	0.136356809	0.024620577	0.054749234	0.099658649	0.20489089	0.282718001	0.166079776	0.432632809	0.163290281	0.095852017	0.311984944	0.070360502	0.052802752	0.238533935	0.245422624	0.172920838	0.164881837
'Gordon_114_roi'	0.071496894	0.265678877	0.24178001	0.160752257	0.035547024		0.463739545	0.251441423	0.113357563	0.521222095	0.138043677	0.256924765	0.20917046	0.110636477	0.095690923	0.105267973	0.352704254	0.319787919	0.017503777	0.136975287	0.249869981	0.080104717	0.235567203	0.059681928	0.274444219
'Gordon_115_roi'	0.028361983	0.265975753	0.126442713	0.087048419	-0.038436302	0.463739545		0.463669932	0.1319891	0.284118495	0.112936523	0.22580681	0.163956003	0.145633176	0.099875147	0.052859892	0.402697483	0.24904372	0.005600567	0.10122233	0.24098548	0.05979048	0.193654141	0.059384009	0.245123607
'Gordon_121_roi'	0.03304536	0.153546125	0.04993468	0.154290386	0.009988377	0.251441423	0.463669932		0.103603937	0.158594035	0.072910074	0.205717348	0.084737113	0.134804135	0.137522725	0.095899377	0.358738753	0.196581816	0.044666894	0.072748086	0.085270208	0.043463273	0.15595804	0.076420059	0.141713096
'Gordon_133_roi'	0.106553253	0.249839327	0.281748316	0.163618118	0.136356809	0.113357563	0.1319891	0.103603937		0.020118616	0.186927022	0.141512756	0.314501333	0.319815	0.154381008	0.271414646	0.390944065	0.111599633	0.23401331	0.070259018	0.41055832	0.356267673	0.386554248	0.474112644	0.232989554
'Gordon_149_roi'	0.092335543	0.175449453	0.213784994	0.277202181	0.024620577	0.521222095	0.284118495	0.158594035	0.020118616		0.076402162	0.281829079	0.155653935	0.086689054	0.158779889	0.124840656	0.186238818	0.514914619	0.023650745	0.156493444	0.090916908	0.027800418	0.160968948	0.021817935	0.238627989
'Gordon_154_roi'	0.03600673	0.178902705	0.152142078	0.102851523	0.054749234	0.138043677	0.112936523	0.072910074	0.186927022	0.076402162		0.211721022	0.311459521	0.100224054	0.106671499	0.09588893	0.1751804	0.084556502	0.034382775	0.08236704	0.428249927	0.229894827	0.152307302	0.178471696	0.19072714
'Gordon_155_roi'	0.074869634	0.239306468	0.199801705	0.42096679	0.099658649	0.256924765	0.22580681	0.205717348	0.141512756	0.281829079	0.211721022		0.289890741	0.36177531	0.529645241	0.261589012	0.23162348	0.402552731	0.071884277	0.217491778	0.174893822	0.140506387	0.243765495	0.14725867	0.217793671
'Gordon_156_roi'	0.108514007	0.309445516	0.356770897	0.155377741	0.20489089	0.20917046	0.163956003	0.084737113	0.314501333	0.155653935	0.311459521	0.289890741		0.31818127	0.145879461	0.213259469	0.333954978	0.215985163	0.241663385	0.189625905	0.465899659	0.416130097	0.37701464	0.23079472	0.350900146
'Gordon_167_roi'	0.033807167	0.109231564	0.09354769	0.218527988	0.102273138	0.124471547	0.142845407	0.146656797	0.212637496	0.086262348	0.093751523	0.284705457	0.205237224	0.410170779	0.402828446	0.11802547	0.193363668	0.190734658	0.198907918	0.162796861	0.172568469	0.225840285	0.342976284	0.18691713	0.152089389
'Gordon_168_roi'	0.030881818	0.023534613	0.045987262	0.414787046	0.085894794	0.17552939	0.105333709	0.131731084	0.148637746	0.226044237	0.049263552	0.287045824	0.078519392	0.218996475	0.350392591	0.263745383	0.194332138	0.38621129	0.066175958	0.141159599	0.080199283	0.074697905	0.188409621	0.072624072	0.143611123
'Gordon_170_roi'	0.054066052	0.12011793	0.156910444	0.08759778	0.103230851	0.011068839	0.044916845	0.061269818	0.340889426	-0.044617674	0.160275525	0.115367288	0.166996716	0.275175826	0.186765838	0.163943665	0.171331393	0.007635485	0.249635085	0.08668207	0.299560739	0.353832108	0.306751651	0.431837776	0.115904715
'Gordon_182_roi'	0.096596806	0.130681317	0.19044627	0.228198503	0.132280672	0.149191271	0.1027879	0.131284331	0.089105662	0.211569283	0.049761495	0.211224955	0.157642902	0.16170649	0.250403961	0.182286598	0.160384366	0.232631138	0.039375615	0.071250771	0.051529667	0.043408577	0.158067553	0.074925507	0.412508911
'Gordon_200_roi'	-0.059521753	0.040491506	0.050668137	0.053280562	0.012587479	0.117958118	0.102821275	0.068205162	0.135273474	0.073026449	0.21600079	0.215789474	0.336016051	0.190270514	0.16289358	-0.038403802	0.112536317	0.143709234	0.1055326	0.152836003	0.257339844	0.233266837	0.153967632	0.076029693	0.124496632
'Gordon_211_roi'	0.064673225	0.03107513	0.056101861	0.193359031	0.170963114	0.017627824	0.041057679	0.079505363	0.129928867	0.034534039	0.008729764	0.182054251	0.126078458	0.46570678	0.252107362	0.141095087	0.052340613	0.104266763	0.317146118	0.24292106	0.031565673	0.258192468	0.307721088	0.095791837	0.025080166
'Gordon_219_roi'	-0.000498598	0.007534163	-0.043957159	0.316755931	0.010978796	0.087206451	0.096762608	0.163130821	0.104330122	0.156444682	0.06302557	0.415389062	0.048738904	0.251906866	0.692646316	0.149202523	0.058456023	0.275570902	0.046483179	0.14345372	0.018596989	0.046766613	0.138036934	0.138800354	0.123966546
'Gordon_236_roi'	0.078892045	0.022646479	0.126463696	0.465555809	0.217264604	0.138265517	0.12117479	0.171153251	0.195612569	0.184856714	0.031651345	0.287024057	0.118995362	0.338612779	0.413829981	0.300971781	0.170335611	0.295377396	0.213360487	0.130178328	0.055732752	0.168637973	0.274456416	0.14812596	0.119715317
'Gordon_240_roi'	0.009149516	0.194454602	0.14900339	0.117387198	0.067946194	0.139919952	0.179875936	0.19461326	0.26334678	0.039669265	0.076259488	0.132558104	0.15747394	0.183026775	0.19162992	0.21173695	0.532332922	0.210985612	0.050895694	-0.042794472	0.282141455	0.134712965	0.218814341	0.182626305	0.250850625
'Gordon_247_roi'	0.069397689	0.063847166	0.114609813	0.180475658	0.113873244	0.120766607	0.105004368	0.080153549	0.083359538	0.162288956	-0.005430928	0.130893405	0.075222931	0.126558772	0.19055539	0.140474604	0.120938328	0.170902774	0.007754198	0.066026129	0.003105476	0.036848529	0.123503198	0.055926755	0.237350649
'Gordon_24_roi'	0.133370379	0.43260396	0.376422951	0.151424188	0.164881837	0.274444219	0.245123607	0.141713096	0.232989554	0.238627989	0.19072714	0.217793671	0.350900146	0.207382816	0.225452357	0.316393906	0.498430968	0.244902097	-0.010418315	-0.018828841	0.312574822	0.107341613	0.260264759	0.212999197	
'Gordon_250_roi'	0.02439988	-0.03094829	0.061778636	0.275910982	0.195777912	-0.006189804	-0.024424531	0.057573661	0.070779995	0.022562656	-0.002663313	0.165952967	-0.016027878	0.171335096	0.421389798	0.418276666	0.126406837	0.154656886	0.080657483	-0.031694931	-0.027705835	0.049600832	0.059170204	0.10929124	0.119538193
'Gordon_253_roi'	0.070856747	-0.019413802	0.137431755	0.016230885	0.221098608	-0.027565192	0.000977627	0.010540941	0.181239707	-0.047855029	0.021955814	-0.012888057	0.17327367	0.321987642	0.018785252	0.065406219	0.02080113	-0.043873142	0.706708958	0.32451827	0.109173313	0.509644359	0.333630624	0.14717536	-0.058166339
'Gordon_254_roi'	0.022421964	-0.080804887	-0.009369273	0.166514893	0.00114331	0.058218169	0.077850421	0.086062707	-0.011417741	0.145617444	-0.016495774	0.17989209	0.024817905	0.180144892	0.184667787	-0.053202966	-0.098692841	0.163987479	0.263190713	0.662024761	-0.016545568	0.180140338	0.261886518	0.006892101	-0.080215082
'Gordon_257_roi'	0.025662856	-0.020751111	0.015674685	0.06110322	-0.020917212	0.044624132	0.044537904	0.059350368	-0.002605624	0.070854714	0.010062052	0.122849434	0.098204296	0.152147674	0.071591607	-0.066678605	-0.078225061	0.064752617	0.211485447	0.522022574	0.015529726	0.171296881	0.174794481	-0.003834827	-0.059874887
