Region	'Gordon_167_roi'	'Gordon_168_roi'	'Gordon_170_roi'	'Gordon_182_roi'	'Gordon_200_roi'	'Gordon_211_roi'	'Gordon_219_roi'	'Gordon_236_roi'	'Gordon_240_roi'	'Gordon_247_roi'	'Gordon_250_roi'	'Gordon_253_roi'	'Gordon_254_roi'	'Gordon_257_roi'	'Gordon_259_roi'	'Gordon_260_roi'	'Gordon_261_roi'	'Gordon_272_roi'	'Gordon_273_roi'	'Gordon_275_roi'	'Gordon_276_roi'	'Gordon_277_roi'	'Gordon_284_roi'	'Gordon_302_roi'	'Gordon_319_roi'	'Gordon_320_roi'	'Gordon_326_roi'	'Gordon_327_roi'	'Gordon_328_roi'
'Gordon_107_roi'	0.033807167	0.030881818	0.054066052	0.096596806	-0.059521753	0.064673225	-0.000498598	0.078892045	0.009149516	0.069397689	0.02439988	0.070856747	0.022421964	0.025662856	-0.034037096	0.061953093	0.096729675	-0.013432557	0.107814958	0.139384313	0.126209341	-0.033145335	-0.001947273	-0.026258291	-0.076398484	0.009621963	0.030101174	0.047244818	0.045104316
'Gordon_108_roi'	0.109231564	0.023534613	0.12011793	0.130681317	0.040491506	0.03107513	0.007534163	0.022646479	0.194454602	0.063847166	-0.03094829	-0.019413802	-0.080804887	-0.020751111	0.147153426	0.152088249	0.107196424	0.291014455	0.187865618	0.003102764	0.036503272	0.126626849	0.053380128	0.065276687	0.091046598	0.051901669	0.126558008	0.26498839	0.135381723
'Gordon_109_roi'	0.09354769	0.045987262	0.156910444	0.19044627	0.050668137	0.056101861	-0.043957159	0.126463696	0.14900339	0.114609813	0.061778636	0.137431755	-0.009369273	0.015674685	0.143093439	0.167399554	0.184533701	0.1105788	0.383095432	0.150539884	0.209574876	0.090205485	0.05773057	0.041728691	0.018749138	0.092237325	0.132763989	0.193846809	0.130680841
'Gordon_110_roi'	0.218527988	0.414787046	0.08759778	0.228198503	0.053280562	0.193359031	0.316755931	0.465555809	0.117387198	0.180475658	0.275910982	0.016230885	0.166514893	0.06110322	-0.041136489	0.141883772	0.079993318	0.065965785	0.18108627	0.281026487	0.039980537	0.098433678	0.084689026	0.028654174	0.06754039	0.250830819	0.006285851	0.038354791	0.070671899
'Gordon_113_roi'	0.102273138	0.085894794	0.103230851	0.132280672	0.012587479	0.170963114	0.010978796	0.217264604	0.067946194	0.113873244	0.195777912	0.221098608	0.00114331	-0.020917212	0.019860138	0.089512393	0.192934956	-0.020754714	0.27104451	0.37176039	0.196788366	-0.005639101	0.035649904	-0.004816238	-0.082217179	0.01963125	0.095601054	0.092239203	0.079502862
'Gordon_114_roi'	0.124471547	0.17552939	0.011068839	0.149191271	0.117958118	0.017627824	0.087206451	0.138265517	0.139919952	0.120766607	-0.006189804	-0.027565192	0.058218169	0.044624132	0.087529378	0.124092348	0.018693254	0.209639587	0.147436697	-0.034443388	-0.029364993	0.339466985	0.154059416	0.046537457	0.3405966	0.303931994	0.087033964	0.158551224	0.101061659
'Gordon_115_roi'	0.142845407	0.105333709	0.044916845	0.1027879	0.102821275	0.041057679	0.096762608	0.12117479	0.179875936	0.105004368	-0.024424531	0.000977627	0.077850421	0.044537904	0.109960848	0.123372722	0.022528001	0.198894019	0.074856461	-0.031857511	-0.041019889	0.467777121	0.266099886	0.067402049	0.265720294	0.20779465	0.05560515	0.147138879	0.061783225
'Gordon_121_roi'	0.146656797	0.131731084	0.061269818	0.131284331	0.068205162	0.079505363	0.163130821	0.171153251	0.19461326	0.080153549	0.057573661	0.010540941	0.086062707	0.059350368	0.009459137	0.081874277	0.04846382	0.13220366	0.066570124	0.050704336	-0.03276356	0.309861745	0.440890696	0.052900307	0.114101726	0.118909891	0.010833868	0.056306103	0.064695718
'Gordon_133_roi'	0.212637496	0.148637746	0.340889426	0.089105662	0.135273474	0.129928867	0.104330122	0.195612569	0.26334678	0.083359538	0.070779995	0.181239707	-0.011417741	-0.002605624	0.272069764	0.203572844	0.158465854	0.142555098	0.211526366	0.125561906	0.017688391	0.113675243	0.08749428	0.186103049	0.020295531	0.050047302	0.196663719	0.184114466	0.033664657
'Gordon_149_roi'	0.086262348	0.226044237	-0.044617674	0.211569283	0.073026449	0.034534039	0.156444682	0.184856714	0.039669265	0.162288956	0.022562656	-0.047855029	0.145617444	0.070854714	-0.036875935	0.109481238	0.009796765	0.141439585	0.100985403	0.008602167	-0.026423251	0.231430475	0.106075634	-0.008618607	0.276074255	0.467203579	0.015814191	0.118483797	0.1116995
'Gordon_154_roi'	0.093751523	0.049263552	0.160275525	0.049761495	0.21600079	0.008729764	0.06302557	0.031651345	0.076259488	-0.005430928	-0.002663313	0.021955814	-0.016495774	0.010062052	0.29230737	0.076552674	0.020546038	0.171903004	0.075095385	-0.0486621	0.032264884	0.086758525	0.01964399	0.04101927	0.095887215	0.023506137	0.160931042	0.164695498	0.058254053
'Gordon_155_roi'	0.284705457	0.287045824	0.115367288	0.211224955	0.215789474	0.182054251	0.415389062	0.287024057	0.132558104	0.130893405	0.165952967	-0.012888057	0.17989209	0.122849434	0.083610829	0.187303672	0.045981992	0.269979137	0.131707326	0.136450738	0.003964552	0.188422426	0.116041175	0.069584806	0.164504948	0.266871456	0.149606006	0.164406701	0.155160412
