Region	FPCN1	FPCN10	FPCN11	FPCN12	FPCN13	FPCN14	FPCN15	FPCN16	FPCN17	FPCN18	FPCN19	FPCN2	FPCN20	FPCN21	FPCN22	FPCN23	FPCN24	FPCN25	FPCN3	FPCN4	FPCN5	FPCN6	FPCN7	FPCN8	FPCN9
DAN1	-0.007763101	-0.004468604	0.03463215	0.040167394	0.093599576	0.161167046	0.106066255	0.179197961	0.159566385	-0.018860707	-0.032498716	0.012734732	-0.07545433	-0.093209641	0.191914355	-0.023471439	-0.053809016	-0.101584203	-0.00040284	-0.009800698	0.195734266	0.234692848	0.041326247	0.045829114	0.134072316
DAN10	0.012782118	0.004101699	-0.002481531	-0.03385812	-0.049345384	0.152105766	-0.062799112	0.014377724	-0.03262938	-0.060702448	-0.050559606	-0.043874296	-0.059998558	-0.066975358	0.071662039	-0.048494747	-0.041068398	-0.108982885	-0.019631597	-0.042217462	0.118278285	0.078736044	-0.052160993	-0.045583385	0.051512744
DAN11	0.056412285	0.036360441	0.051178295	0.007064999	-0.009924039	0.163567581	-0.05992454	0.038229096	-0.03914583	-0.062518665	-0.078801194	-0.051613255	-0.025529745	-0.03871833	0.083611712	-0.053977261	-0.012855247	-0.038262973	0.052700548	-0.034137922	0.111162344	0.056469016	-0.002226918	-0.049835712	0.13065379
DAN2	0.139527496	0.101017046	0.024139475	-0.054116454	-0.050908226	0.119596967	-0.077056417	-0.015801771	-0.039954343	-0.044518422	-0.07200376	-0.008105279	-0.041541284	-0.004330942	0.037940276	-0.03724731	-0.002279321	-0.039528746	0.108134261	-0.002319585	0.110517622	0.066744022	-0.061238498	0.00683272	0.099695164
DAN3	0.04141491	0.100892458	0.065584467	-0.003956681	0.122631304	0.352602126	0.071346306	0.16986731	0.179166531	-0.011225467	-0.078723445	0.023893557	-0.063530981	-0.057706918	0.311158504	-0.026331364	-0.038431167	-0.067934771	0.086013822	-0.020990469	0.160545256	0.23984581	0.044610861	0.000831827	0.167084192
DAN4	0.037409728	0.015518218	-0.026225161	-0.057818005	-0.061997894	0.097077257	-0.075248993	-0.043879179	-0.043989589	-0.100111733	-0.049099722	-0.003332729	-0.076084457	-0.05979064	0.065559532	-0.06132907	-0.050815335	-0.093787739	-0.020083944	-0.063128317	0.040743497	0.050440958	-0.037533571	-0.014938828	0.104081491
DAN5	0.034051477	0.022031906	-0.020951442	-0.046203726	0.005955625	0.279141327	-0.015055301	0.005609406	-0.002810982	-0.03211914	-0.05666064	-0.015276858	-0.035363244	-0.05162245	0.158258451	0.009424986	-0.041235693	-0.106461081	0.012783956	-0.04132626	0.052079589	0.160187146	0.008678157	0.016545426	0.087862494
DAN6	0.081528302	0.160661555	0.146494161	0.059450243	0.127148511	0.326677036	0.082048294	0.103001121	0.10073264	0.136316085	-0.050669973	0.045052424	0.044489228	0.040780273	0.210304042	0.02953689	0.047639778	0.020094495	0.135199898	0.097209601	0.183878748	0.194507408	0.045022001	-0.004653711	0.185255443
DAN7	0.079898018	0.27974151	0.211581966	0.030509824	0.193685499	0.363945761	0.212127456	0.250472925	0.39188078	0.206829872	-0.002034203	0.151860668	0.084567064	0.157384663	0.267165862	0.058401116	0.17975324	0.099863023	0.211081376	0.188838648	0.192497994	0.32488045	0.109394502	0.013055738	0.22198323
DAN8	0.188139924	0.184891644	0.112969491	0.03636415	0.0429813	0.195393559	0.039884793	0.145104254	0.026119064	0.088635732	-0.035773647	0.081588517	0.108251026	0.057319786	0.114198058	-0.004815892	0.16543001	0.137947924	0.132307736	0.079467895	0.237180044	0.062538697	0.022394159	0.057180125	0.131416254
DAN9	0.051228082	0.106102318	0.039043929	-0.076374409	-0.036225602	0.227067106	-0.080065562	0.006507311	0.033394885	-0.085674861	-0.095524647	0.025698227	-0.08235618	-0.005960371	0.178752828	-0.038082754	-0.034776609	-0.069345432	0.149498677	-0.040330333	0.061013147	0.187936011	-0.004288773	-0.081745888	0.133445501
DN1	-0.030141125	0.067738548	-0.00852309	-0.09081621	0.019231235	-0.005631021	0.046694218	0.124034317	0.183040697	0.079335294	0.088821411	0.062977058	0.058221661	0.118515855	-0.00588048	0.004898211	0.110192708	0.044659216	0.01239252	0.122392943	0.181344978	0.123970413	-0.029846616	-0.012483609	0.018502458
DN10	0.006351105	-0.006152599	-0.061711639	-0.043130901	0.028814887	-0.039553812	0.049137991	0.036404537	0.046677521	0.12401152	0.137358384	0.062977192	0.134209879	0.179279899	-0.064562707	0.165814898	0.063038394	0.069767766	-0.027970763	0.099893647	-0.020825275	0.029228679	0.025509265	0.059687646	-0.037835613
DN11	0.010648081	0.019380237	-0.037127631	-0.086749736	0.031582517	-0.046451485	0.149729791	0.100013688	0.173815657	0.345829038	0.2431692	0.101429905	0.29503081	0.341640391	-0.068159363	0.160764574	0.24349231	0.18125728	-0.024751381	0.252637224	-0.014227406	-0.002793341	0.006472647	0.074453603	-0.10663635
DN12	0.016709263	0.04301188	0.029573781	-0.032710484	0.081505508	-0.066190355	0.19800398	0.128774309	0.232325893	0.313168853	0.177960016	0.126455119	0.295700177	0.332044312	-0.067409018	0.190659733	0.273631149	0.199170508	0.004829411	0.255301141	0.0230833	0.063278894	0.038905983	0.076086098	-0.050921769
DN13	-0.033056496	-0.081067905	-0.190704349	-0.182773694	-0.179835944	-0.107092093	-0.059504785	-0.05088008	0.030342463	0.056298103	0.125262266	0.004287858	0.075027818	0.036651054	-0.171692691	-0.047996493	0.061825982	-0.044528624	-0.141927351	-0.083223035	-0.107639895	-0.093571446	-0.130028479	-0.051542148	-0.161588806
DN14	-0.040509125	-0.105116142	-0.147894125	-0.083623299	-0.010050712	-0.097729253	0.131369492	0.121489572	0.178429164	0.105709799	0.256384785	0.121884226	0.050652871	-0.068244826	-0.051049859	-0.038078442	0.050109857	-0.04436826	-0.138808555	-0.005785385	-0.03306832	-0.053110956	-0.09005921	-0.001797749	-0.078635839
DN15	-0.085412139	-0.032174522	-0.103528398	-0.139996568	-0.127985743	-0.045477349	-0.037647433	0.014787922	0.077140011	-0.013471997	0.058988383	0.041639737	-0.037866211	-0.047247062	-0.065830719	-0.108909273	0.021212087	-0.075764055	-0.114755313	-0.117437746	0.003225525	-0.056188762	-0.092525853	-0.06769093	-0.092391187
DN16	-0.017396881	0.006082352	-0.066342493	-0.067669495	-0.084348118	-0.01112049	0.030533789	0.007227588	0.106452477	0.076731339	0.089656136	0.036920122	0.064444094	0.050154932	-0.048311889	-0.031184968	0.058738876	0.024789254	-0.026124613	-0.018794276	-0.035739963	-0.037959558	-0.051422998	0.000973872	-0.052909044
DN17	-0.081441079	-0.107048892	-0.155443262	-0.080310867	0.034218688	-0.096543337	0.178039002	0.139458237	0.195633409	0.141642114	0.320528563	0.144222234	0.078574689	-0.049141902	-0.053259306	0.077440812	0.039299981	-0.039811345	-0.142166113	-0.003370921	-0.051310612	-0.012472131	-0.042969515	0.006150372	-0.060702416
DN18	-0.061276347	-0.063412366	-0.001946126	0.092059389	0.037936922	-0.023418543	0.125286062	0.108011492	0.176778628	0.098747395	0.081849725	0.06293266	0.005492153	-0.138437749	0.022784512	-0.074043114	0.013731669	-0.050699156	-0.092180978	-0.025218094	0.049126586	-0.022426406	-0.002009931	0.017257058	0.000473373
DN19	-0.093210483	-0.008620539	0.116084062	0.173798914	0.196162084	0.013079311	0.242119985	0.108126161	0.178547135	0.226216504	0.096497696	0.018755493	0.094249594	0.032368891	0.041937197	0.07060698	0.084177541	0.118458646	-0.03328441	0.266847992	0.103582881	0.064943278	0.067905147	0.10324321	0.026627021
DN2	-0.075409656	-0.101628067	-0.137923186	-0.179975918	-0.081712856	-0.081621571	-0.028074589	0.037809043	0.062885867	-0.069494099	0.188124121	0.044841494	0.047040145	0.008354326	-0.070907263	0.07914054	-0.008890253	-0.079055522	-0.09345139	-0.114544545	-0.067390404	-0.02903675	-0.064196542	0.026439627	-0.077307598
DN20	-0.084865924	-0.056068229	-0.119669019	-0.156427213	-0.107041412	-0.060310377	-0.026882469	0.050427702	0.083567309	-0.078321208	0.066613174	0.057863557	-0.093496738	-0.112477278	-0.045503194	-0.092160812	-0.027594975	-0.107902953	-0.080514108	-0.146363097	0.019897594	-0.020243154	-0.092764488	-0.068895963	-0.058978443
DN21	-0.078182823	-0.066238839	-0.048958198	0.069533328	0.253387488	-0.090865388	0.38640136	0.260000243	0.306869261	0.295844049	0.448410367	0.231805165	0.223187134	0.201027463	-0.023443484	0.411067944	0.150143169	0.139979146	-0.076282196	0.270948297	-0.047503422	0.041406502	0.097661718	0.183040982	-0.031506832
DN22	-0.073872996	-0.04843864	-0.06571675	0.007636545	0.169062921	-0.05931924	0.231222934	0.280082588	0.258158149	0.126626424	0.32371172	0.253079545	0.11080714	0.126498718	-0.007309826	0.284903747	0.083678711	0.064619627	-0.058523061	0.124387857	0.032899908	0.069535032	0.014654992	0.09264685	0.015626538
DN23	0.178496681	0.069592965	-0.04663265	-0.135559682	-0.066415699	-0.050397328	-0.05796233	-0.027294555	-0.083812968	0.123189085	0.121722404	0.007258799	0.215992788	0.280636532	-0.126570629	0.095908812	0.144429992	0.184651885	0.048618146	0.13144238	-0.046250376	-0.064323707	-0.024889922	0.062117223	-0.081216566
DN24	0.129769149	0.060116376	0.00362065	-0.073886601	0.011790573	-0.022709006	0.022350108	0.048193568	0.021234621	0.206430119	0.142519432	-0.004317315	0.209577618	0.279462929	-0.082885938	0.109251611	0.169662691	0.180884857	0.041410895	0.219300653	0.055268618	-0.02826087	0.009657851	0.079737873	-0.06469142
DN25	0.121902984	0.113047778	0.071710591	-0.05217634	0.082882251	0.026885327	0.152673519	0.189476988	0.158216147	0.36574207	0.236068862	0.131762085	0.37283288	0.432929966	-0.007436918	0.188325046	0.325111093	0.287333737	0.065607679	0.3249033	0.13480232	0.071281278	0.060954257	0.12172511	-0.03114472
DN26	-0.069017661	-0.082217834	-0.068879566	-0.025905346	0.087784271	-0.076604096	0.128273158	0.084178921	0.143994378	0.051460793	0.239228804	0.106246547	0.020998538	0.020042783	-0.050190692	0.103843227	0.033750484	0.03109822	-0.091296435	0.03016887	1.61E-02	-0.037419789	-0.0365795	0.058103182	-0.002432538
DN27	0.056406547	-0.052045288	-0.102923028	-0.069114336	0.036648625	-0.062493891	0.060855365	0.014184563	0.021238657	0.038649364	0.224417117	0.086994974	0.063484405	0.117692698	-0.063002716	0.170675219	0.028109472	0.03791435	-0.002843437	0.084930616	-0.035839948	-0.036951579	0.026398745	0.10739109	-0.031349099
DN28	0.101459237	0.048623814	-0.088473219	-0.173531006	-0.136232018	-0.026480452	-0.10326938	-0.093897446	-0.042838949	0.049702116	0.056717113	-0.01049124	0.111677254	0.204162025	-0.118993879	0.026414625	0.111252162	0.087948154	0.04981078	0.018642084	-0.04317661	-0.050076545	-0.092810742	-0.015514212	-0.058688177
DN29	0.038916651	-0.004342126	0.037285179	0.016298137	-0.001895053	-0.078013479	-0.002668792	0.001538151	-0.026421134	0.111916325	0.075178487	-0.030296853	0.156501824	0.173449367	-0.102726439	0.036022169	0.152853544	0.141083675	-0.001477213	0.15009044	0.053582962	-0.0667442	-0.032077151	0.062859732	-0.06605508
DN3	-0.070174369	-0.046921142	-0.081306585	-0.09415722	-0.064988271	-0.044510725	-0.028801205	0.026428846	0.041288978	-0.022829375	0.038110082	0.048576514	0.037309169	0.011205854	-0.041993208	0.019825165	-0.034600121	-0.013125318	-0.038841438	-0.076696576	-0.065843743	-0.012687881	0.243563806	0.17747754	-0.008805673
DN30	-0.026524437	-0.10671045	-0.180526706	-0.169958944	-0.159573539	-0.148642971	-0.126596967	-0.07588814	-0.100642967	-0.093456464	0.210253072	0.008326619	-0.01243573	-0.0159896	-0.160294587	0.022760878	-0.059495583	-0.043791152	-0.079802534	-0.081540138	-0.097105702	-0.11857969	-0.104882424	0.000887399	-0.102547965
DN31	-0.023779877	-0.12853321	-0.099182171	-0.053766662	-0.071836907	-0.121366779	-0.025265972	-0.06482548	-0.077033763	-0.019134747	0.208934718	0.048359968	0.037234437	-0.012554772	-0.11374748	0.048667076	-0.019498489	-0.033036075	-0.115418621	-0.002581629	-0.109811417	-0.103509912	-0.038329869	0.084445505	-0.095487266
DN32	-0.153965004	-0.134131253	-0.042597752	0.027134701	-0.058061123	-0.145785119	-0.031496798	-0.087326955	-0.038025043	0.002755683	0.069162351	-0.07686845	0.058740191	-0.024184744	-0.169361837	0.046009022	-0.028499793	0.022401761	-0.123007493	-0.013105077	-0.073018799	-0.119878854	0.027133192	0.040481464	-0.169759519
DN33	-0.140163613	-0.16218872	-0.045910841	0.098958092	0.05707954	-0.139310633	0.079813913	-0.013019086	0.015776182	0.005277876	0.101619035	-0.042025773	0.055416301	-0.050703025	-0.12071159	0.092233472	-0.051582803	-0.000382728	-0.103251435	0.030129716	-0.041151181	-0.073075874	0.063862414	0.054835126	-0.078450954
DN34	-0.140355803	-0.086066452	-0.067847141	-0.050722771	-0.058247849	-0.096468343	-0.035094335	-0.048530529	0.006789879	-0.020990748	0.023037794	-0.048540088	0.029172087	0.003496303	-0.100625706	0.018100967	-0.025867921	0.010728363	-0.072102572	-0.043106567	-0.058925123	-0.064748286	0.151352762	0.099496224	-0.108306977
DN35	-0.132184754	-0.124845741	-0.01262093	0.05961495	0.013211519	-0.127590012	0.04694315	-0.004741046	-0.032495398	-0.020512352	0.052373998	-0.010665667	0.046082053	-0.073833994	-0.11225157	0.053193267	-0.047390573	0.00820015	-0.113652584	-0.000230608	-0.037055024	-0.123220284	0.136942099	0.076355334	-0.078866749
DN36	-0.053280063	-0.078738051	-0.052826978	-0.005749538	-0.017924888	-0.101250523	-0.017046102	-0.022402949	-0.011917084	0.000473485	0.069936464	-0.029277817	0.044698191	0.034635587	-0.118869919	0.037956657	0.001117473	0.049146669	-0.049219466	0.018726572	-0.079581891	-0.057720018	-0.0126088	-0.02215238	-0.083538004
DN37	0.120612407	0.120170094	0.113409632	0.094261189	0.206952123	-0.036566835	0.221337059	0.145187879	0.101708619	0.363350471	0.288830719	0.186317854	0.377779522	0.47748613	-0.026979761	0.264291705	0.300214856	0.485476901	0.118834987	0.355224398	0.05526186	0.008439615	0.145660259	0.150373277	0.030172125
