Region	FPCN1	FPCN10	FPCN11	FPCN12	FPCN13	FPCN14	FPCN15	FPCN16	FPCN17	FPCN18	FPCN19	FPCN2	FPCN20	FPCN21	FPCN22	FPCN23	FPCN24	FPCN25	FPCN3	FPCN4	FPCN5	FPCN6	FPCN7	FPCN8	FPCN9
FPCN1		0.249458068	0.056153934	-0.031062994	-0.000969605	0.127424665	-0.011198378	0.030472489	-0.04845763	0.093564541	0.0246547	0.049709552	0.114350598	0.111422527	0.069674624	-0.045928846	0.136672282	0.180003959	0.222996897	0.068034422	0.07010631	0.009642899	-0.047088346	-0.034350131	0.114976334
FPCN10	0.249458068		0.222663666	0.035496537	0.064230603	0.222375662	0.059423115	0.119783709	0.112468038	0.167973211	0.042037924	0.151265964	0.160062142	0.231045317	0.184064203	0.021332685	0.250846942	0.261294865	0.356548355	0.158767061	0.166603134	0.129342007	0.042120264	-0.019261394	0.275255583
FPCN11	0.056153934	0.222663666		0.324817472	0.243406067	0.157198506	0.172978783	0.12912608	0.107731059	0.220237073	-0.030086817	0.09212984	0.19096401	0.231968764	0.11336807	0.174041292	0.21905855	0.261953122	0.219571299	0.320763975	0.191404207	0.180843392	0.124134481	0.091676897	0.149893381
FPCN12	-0.031062994	0.035496537	0.324817472		0.339602043	-0.005733906	0.297336541	0.152802635	0.103059502	0.176641174	0.027419342	0.085330491	0.160452243	0.082253087	0.104678679	0.215222721	0.062950606	0.200989333	0.03395062	0.224831133	0.047220211	0.081013814	0.21404643	0.14288899	0.090617606
FPCN13	-0.000969605	0.064230603	0.243406067	0.339602043		0.101941802	0.617024555	0.369196986	0.36917385	0.312108532	0.216334412	0.250539569	0.120907035	0.140454437	0.240333407	0.3557314	0.136789549	0.203451963	0.103745504	0.427876545	0.12559367	0.256580088	0.219970216	0.194623278	0.221474548
FPCN14	0.127424665	0.222375662	0.157198506	-0.005733906	0.101941802		0.087759193	0.10572836	0.187343655	0.158300894	-0.005969613	0.095162174	0.041160982	0.051829674	0.331303974	0.01841568	0.096902756	0.026963444	0.152219552	0.071070179	0.086311808	0.222232837	0.071773137	0.019343704	0.233834001
FPCN15	-0.011198378	0.059423115	0.172978783	0.297336541	0.617024555	0.087759193		0.432365529	0.493557633	0.437017189	0.292659651	0.37296368	0.190937408	0.161170456	0.310581072	0.379101721	0.203018984	0.193411274	0.059239735	0.393319766	0.07113324	0.260381171	0.244616534	0.189475775	0.189594908
FPCN16	0.030472489	0.119783709	0.12912608	0.152802635	0.369196986	0.10572836	0.432365529		0.436900022	0.210071503	0.239517369	0.328893456	0.136567352	0.153403648	0.208155433	0.249656046	0.15762605	0.162454676	0.102439449	0.219450591	0.217660358	0.302084433	0.136897358	0.117097238	0.208237768
FPCN17	-0.04845763	0.112468038	0.107731059	0.103059502	0.36917385	0.187343655	0.493557633	0.436900022		0.299302075	0.19179476	0.315028708	0.107942247	0.105259546	0.321913003	0.191695548	0.164653494	0.094846795	0.107191134	0.20748215	0.087438466	0.370243458	0.143980439	0.126578906	0.200443158
FPCN18	0.093564541	0.167973211	0.220237073	0.176641174	0.312108532	0.158300894	0.437017189	0.210071503	0.299302075		0.182188767	0.194310198	0.395744686	0.364256381	0.136676779	0.208829072	0.35526843	0.364645225	0.093063911	0.524370001	0.150015985	0.121394205	0.154916507	0.149626178	0.071691889
FPCN19	0.0246547	0.042037924	-0.030086817	0.027419342	0.216334412	-0.005969613	0.292659651	0.239517369	0.19179476	0.182188767		0.325066669	0.122097473	0.1378758	0.03425675	0.29279712	0.129047871	0.143050239	-0.026636438	0.153431133	0.033469961	0.059315781	0.045890082	0.138833351	0.111762987
FPCN2	0.049709552	0.151265964	0.09212984	0.085330491	0.250539569	0.095162174	0.37296368	0.328893456	0.315028708	0.194310198	0.325066669		0.129732103	0.189061693	0.220882577	0.332137965	0.217490124	0.179056989	0.133930478	0.164510448	0.044076456	0.17277384	0.133040607	0.060199407	0.296788844
FPCN20	0.114350598	0.160062142	0.19096401	0.160452243	0.120907035	0.041160982	0.190937408	0.136567352	0.107942247	0.395744686	0.122097473	0.129732103		0.477158422	-0.002427682	0.233060043	0.291503377	0.368462786	0.077232849	0.264752974	0.09191965	0.002961302	0.146216726	0.147545233	0.013647804
FPCN21	0.111422527	0.231045317	0.231968764	0.082253087	0.140454437	0.051829674	0.161170456	0.153403648	0.105259546	0.364256381	0.1378758	0.189061693	0.477158422		0.024132697	0.429460637	0.338638932	0.389488908	0.254282374	0.372621142	0.085589631	0.095230078	0.150096337	0.117588907	0.08568567
FPCN22	0.069674624	0.184064203	0.11336807	0.104678679	0.240333407	0.331303974	0.310581072	0.208155433	0.321913003	0.136676779	0.03425675	0.220882577	-0.002427682	0.024132697		0.06116404	0.073608577	0.019308049	0.131166771	0.089776802	0.064046726	0.267957081	0.112835376	0.026949664	0.282863445
FPCN23	-0.045928846	0.021332685	0.174041292	0.215222721	0.3557314	0.01841568	0.379101721	0.249656046	0.191695548	0.208829072	0.29279712	0.332137965	0.233060043	0.429460637	0.06116404		0.119931536	0.169618351	0.110588837	0.321965272	-0.018674749	0.162174001	0.226646007	0.213396676	0.130857146
FPCN24	0.136672282	0.250846942	0.21905855	0.062950606	0.136789549	0.096902756	0.203018984	0.15762605	0.164653494	0.35526843	0.129047871	0.217490124	0.291503377	0.338638932	0.073608577	0.119931536		0.317297824	0.114791239	0.293008993	0.139136193	0.071092624	0.083497127	0.084377208	0.082169245
FPCN25	0.180003959	0.261294865	0.261953122	0.200989333	0.203451963	0.026963444	0.193411274	0.162454676	0.094846795	0.364645225	0.143050239	0.179056989	0.368462786	0.389488908	0.019308049	0.169618351	0.317297824		0.221410171	0.366282561	0.154075377	0.058035811	0.152191734	0.076427642	0.112648593
FPCN3	0.222996897	0.356548355	0.219571299	0.03395062	0.103745504	0.152219552	0.059239735	0.102439449	0.107191134	0.093063911	-0.026636438	0.133930478	0.077232849	0.254282374	0.131166771	0.110588837	0.114791239	0.221410171		0.159386548	0.144954709	0.114535753	0.090547093	-0.003717401	0.196971235
FPCN4	0.068034422	0.158767061	0.320763975	0.224831133	0.427876545	0.071070179	0.393319766	0.219450591	0.20748215	0.524370001	0.153431133	0.164510448	0.264752974	0.372621142	0.089776802	0.321965272	0.293008993	0.366282561	0.159386548		0.215743951	0.208927249	0.196204673	0.189078327	0.149285284
FPCN5	0.07010631	0.166603134	0.191404207	0.047220211	0.12559367	0.086311808	0.07113324	0.217660358	0.087438466	0.150015985	0.033469961	0.044076456	0.09191965	0.085589631	0.064046726	-0.018674749	0.139136193	0.154075377	0.144954709	0.215743951		0.114238011	0.022062349	0.009340353	0.145521383
FPCN6	0.009642899	0.129342007	0.180843392	0.081013814	0.256580088	0.222232837	0.260381171	0.302084433	0.370243458	0.121394205	0.059315781	0.17277384	0.002961302	0.095230078	0.267957081	0.162174001	0.071092624	0.058035811	0.114535753	0.208927249	0.114238011		0.106387669	0.05546556	0.217659702
FPCN7	-0.047088346	0.042120264	0.124134481	0.21404643	0.219970216	0.071773137	0.244616534	0.136897358	0.143980439	0.154916507	0.045890082	0.133040607	0.146216726	0.150096337	0.112835376	0.226646007	0.083497127	0.152191734	0.090547093	0.196204673	0.022062349	0.106387669		0.330382162	0.116002648
FPCN8	-0.034350131	-0.019261394	0.091676897	0.14288899	0.194623278	0.019343704	0.189475775	0.117097238	0.126578906	0.149626178	0.138833351	0.060199407	0.147545233	0.117588907	0.026949664	0.213396676	0.084377208	0.076427642	-0.003717401	0.189078327	0.009340353	0.05546556	0.330382162		0.02799071
FPCN9	0.114976334	0.275255583	0.149893381	0.090617606	0.221474548	0.233834001	0.189594908	0.208237768	0.200443158	0.071691889	0.111762987	0.296788844	0.013647804	0.08568567	0.282863445	0.130857146	0.082169245	0.112648593	0.196971235	0.149285284	0.145521383	0.217659702	0.116002648	0.02799071	
