Region	RLPFC_R	MFG_R	aIPL_R	MTG_R	pre-SMA_R	RLPFC_L	SFG_L	MFG_L	aIPL_L	MTG_L	pre-SMA_L	IFS_R	IPS_R	pMTG_R	pSFS_R	aIFS_L	pIFS_L	IPS_L	pMTG_L	pSFS_L
FEF_R	-0.087935016	-0.05715503	-0.085610633	-0.071918721	-0.083313425	-0.075795669	-0.007233535	-0.069375197	-0.055428479	-0.056000902	-0.065373094	0.090255571	0.097725392	-0.009508649	0.250647691	0.030084053	0.084506798	0.178447867	0.101892176	0.217793989
IPS_R	-0.099177885	-0.097053442	-0.060971129	-0.066133495	-0.12965722	-0.174539506	-0.07426694	-0.18156711	-0.074120345	-0.111163104	-0.159029499	0.084541231	0.21931309	0.075977194	0.200455813	0.020220509	-0.028353748	0.215860266	0.163872613	0.154269945
aMT_R	0.016868929	0.149229912	0.100544179	0.11341263	0.022567009	-0.028940273	0.039016551	-0.022633241	0.074554914	0.025767655	-0.025049763	0.249795644	0.166283677	0.229691998	0.154838395	0.064098155	0.091137904	0.133470409	0.23814977	0.082812629
PrCv_R	0.016758986	0.121060843	0.080939467	0.021713528	0.05717163	-0.030074249	0.018703395	0.004425731	0.069080372	0.053217536	0.051800728	0.495249322	0.318796263	0.15975706	0.161428677	0.193346152	0.223999126	0.258327243	0.181337153	0.114264798
FEF_L	-0.099010422	-0.067524577	-0.124885597	-0.086366967	-0.046229074	-0.028956649	0.071115656	-0.003645991	-0.03810604	-0.037733304	0.006816473	0.056231615	0.008843197	-0.037603077	0.247910245	0.079140801	0.175349258	0.19695836	0.126110714	0.35866016
IPS_L	-0.109397913	-0.119458033	-0.086375868	-0.069348662	-0.104570236	-0.108739506	0.001779846	-0.125128943	0.000658753	-0.083963803	-0.121218209	0.069166138	0.118180357	0.061467158	0.140977567	0.106693447	0.08090955	0.35413564	0.236892418	0.189682598
aMT_L	-0.003032061	0.035824151	0.014090549	0.048265928	0.002837706	0.01983789	0.047824836	0.067407809	0.014529044	0.083843661	0.002092724	0.044477684	0.027085148	0.044940079	0.054078777	0.0327478	0.125086829	0.09180534	0.228338805	0.077188981
PrCv_L	0.015486401	0.048737518	-0.028258114	0.008566019	0.02999216	0.032955327	0.067869405	0.146180836	0.093965254	0.093660554	0.086242489	0.171041837	0.097424838	0.074123432	0.060620385	0.22454668	0.37897391	0.294401164	0.178960641	0.143747329
RMPFC_R	0.256634657	0.190878419	0.196093001	0.219618837	0.264469943	0.086732404	-0.010116411	0.019796196	-0.022058621	0.043536326	0.033893216	-0.165939147	-0.137113181	-0.030044045	-0.102511462	-0.166977605	-0.237589191	-0.263593664	-0.15751191	-0.112147897
PCC_R	0.175639576	0.336072128	0.209004161	0.300864569	0.124160832	0.059880934	0.071123521	0.086092838	0.000557607	0.118871193	-0.049378043	-0.086564468	0.027129014	0.075905819	-0.046623499	-0.269492445	-0.139561618	-0.128969855	-0.116999772	-0.107479638
pIPL_R	0.486658853	0.741040804	0.607273599	0.572733816	0.387714267	0.264618631	0.171883831	0.308916737	0.283338284	0.301840078	0.130715666	0.049828479	0.182568192	0.231468415	0.036748885	-0.131634935	-0.057951958	-0.025645566	0.027127852	-0.071067724
SFS_R	0.443479792	0.634619129	0.430182362	0.408492121	0.316741719	0.170997743	0.19404719	0.186058468	0.170685507	0.185487553	0.077606739	0.0895908	0.202167369	0.203765468	0.09387003	-0.062903485	-0.044575831	-0.008767111	0.026408875	0.054037525
LTC_R	0.057667021	0.201963936	0.005121983	0.219325284	0.076815932	0.009390666	0.017320156	0.068700615	-0.09201496	0.11289006	-0.029090249	-0.035200009	-0.136811581	0.035504548	-0.068314644	-0.19468775	-0.06420404	-0.201954757	-0.050428693	-0.073517525
RMPFC_L	0.166076136	0.060889574	0.10298638	0.142953224	0.173591708	0.216924568	0.055185835	0.164917943	0.065444257	0.114932691	0.111561526	-0.20246708	-0.177620656	-0.060744644	-0.144017076	-0.075847768	-0.143517546	-0.204495235	-0.145652443	-0.109894015
PCC_L	0.109842028	0.187122964	0.086335569	0.243198335	0.072308053	0.203361589	0.142985339	0.265615011	0.093664298	0.23264795	0.046997576	-0.172258942	-0.067670469	0.024993172	-0.127954421	-0.180505896	-0.032658717	-0.069543609	-0.091255373	-0.108292555
pIPL_L	0.319164815	0.386718516	0.347358795	0.444254469	0.253053103	0.516045062	0.332415247	0.651268624	0.512137592	0.603120428	0.295857588	-0.035842082	0.075875263	0.220458984	-0.09976536	0.094741381	0.150393738	0.127552566	0.159120448	-0.018434123
SFS_L	0.173333513	0.275771891	0.15004887	0.237900884	0.192026561	0.387758662	0.412108189	0.540430678	0.344833946	0.395315971	0.294141949	-0.019307749	0.01262355	0.156789391	0.014683891	0.182923152	0.242293446	0.160073314	0.181736254	0.200025758
