Region	RLPFC_R	MFG_R	aIPL_R	MTG_R	pre-SMA_R	RLPFC_L	SFG_L	MFG_L	aIPL_L	MTG_L	pre-SMA_L	IFS_R	IPS_R	pMTG_R	pSFS_R	aIFS_L	pIFS_L	IPS_L	pMTG_L	pSFS_L
RLPFC_R		0.758510115	0.72540022	0.535860085	0.502465797	0.636206754	0.201568627	0.309780269	0.387072673	0.296432733	0.236610688	0.244071807	0.402056099	0.276510674	0.120235575	0.173811416	0.104046136	0.196807701	0.187844711	0.0408394
MFG_R	0.758510115		0.804473767	0.575950128	0.618386687	0.376136032	0.34149535	0.428348013	0.403671869	0.312745178	0.288748207	0.467808582	0.549585921	0.401205399	0.251896238	0.124097316	0.211846024	0.252411576	0.212509392	0.095500256
aIPL_R	0.72540022	0.804473767		0.52169163	0.520373909	0.34095598	0.216057634	0.294960458	0.649281163	0.312711354	0.260155649	0.31809526	0.681266117	0.413027336	0.197369744	0.170166601	0.070939552	0.301232496	0.260312198	0.06526496
MTG_R	0.535860085	0.575950128	0.52169163		0.421713649	0.305499341	0.181574468	0.299389469	0.32499615	0.455968269	0.210679361	0.168857901	0.273403628	0.410535823	0.015153099	0.058177513	0.068872378	0.126418778	0.224975092	-0.027155816
pre-SMA_R	0.502465797	0.618386687	0.520373909	0.421713649		0.297665219	0.204383668	0.300105865	0.32117583	0.253474989	0.488566605	0.291784636	0.248460026	0.214860736	0.099742879	0.201958805	0.171478813	0.147930368	0.161917005	0.051913756
RLPFC_L	0.636206754	0.376136032	0.34095598	0.305499341	0.297665219		0.359079466	0.659017167	0.544107724	0.423795919	0.443339257	0.097988111	0.151193969	0.140932763	0.021207885	0.310760653	0.324171566	0.27723359	0.19354017	0.098238282
SFG_L	0.201568627	0.34149535	0.216057634	0.181574468	0.204383668	0.359079466		0.4130137	0.386938574	0.296132377	0.319861054	0.12652166	0.207109822	0.181282228	0.234557404	0.262660492	0.331068755	0.357335325	0.267007841	0.370122493
MFG_L	0.309780269	0.428348013	0.294960458	0.299389469	0.300105865	0.659017167	0.4130137		0.628670903	0.464504904	0.463768124	0.097173766	0.118379924	0.179800374	-0.015860785	0.34116148	0.416189181	0.304669446	0.223587546	0.119630424
aIPL_L	0.387072673	0.403671869	0.649281163	0.32499615	0.32117583	0.544107724	0.386938574	0.628670903		0.474309969	0.418959834	0.249464918	0.443827621	0.358558574	0.092591291	0.491763432	0.363167521	0.606800015	0.399149179	0.150479892
MTG_L	0.296432733	0.312745178	0.312711354	0.455968269	0.253474989	0.423795919	0.296132377	0.464504904	0.474309969		0.305681165	0.153119653	0.233159471	0.397567564	-0.006584339	0.286964667	0.295831325	0.313795309	0.434064226	0.064307346
pre-SMA_L	0.236610688	0.288748207	0.260155649	0.210679361	0.488566605	0.443339257	0.319861054	0.463768124	0.418959834	0.305681165		0.19574768	0.124518826	0.139979546	0.03870592	0.343218027	0.367644468	0.236964133	0.183927895	0.152338188
IFS_R	0.244071807	0.467808582	0.31809526	0.168857901	0.291784636	0.097988111	0.12652166	0.097173766	0.249464918	0.153119653	0.19574768		0.650110937	0.425606768	0.240510634	0.461706767	0.541144487	0.477059027	0.336938411	0.127904829
IPS_R	0.402056099	0.549585921	0.681266117	0.273403628	0.248460026	0.151193969	0.207109822	0.118379924	0.443827621	0.233159471	0.124518826	0.650110937		0.551835777	0.384645136	0.267145631	0.300404487	0.708363864	0.396609925	0.16364002
pMTG_R	0.276510674	0.401205399	0.413027336	0.410535823	0.214860736	0.140932763	0.181282228	0.179800374	0.358558574	0.397567564	0.139979546	0.425606768	0.551835777		0.183687502	0.273400861	0.213211829	0.406771531	0.572375593	0.092785959
pSFS_R	0.120235575	0.251896238	0.197369744	0.015153099	0.099742879	0.021207885	0.234557404	-0.015860785	0.092591291	-0.006584339	0.03870592	0.240510634	0.384645136	0.183687502		0.075865887	0.133453002	0.271253086	0.168040333	0.395613931
aIFS_L	0.173811416	0.124097316	0.170166601	0.058177513	0.201958805	0.310760653	0.262660492	0.34116148	0.491763432	0.286964667	0.343218027	0.461706767	0.267145631	0.273400861	0.075865887		0.621786794	0.577454353	0.516054749	0.24345946
pIFS_L	0.104046136	0.211846024	0.070939552	0.068872378	0.171478813	0.324171566	0.331068755	0.416189181	0.363167521	0.295831325	0.367644468	0.541144487	0.300404487	0.213211829	0.133453002	0.621786794		0.622484506	0.397596967	0.252771435
IPS_L	0.196807701	0.252411576	0.301232496	0.126418778	0.147930368	0.27723359	0.357335325	0.304669446	0.606800015	0.313795309	0.236964133	0.477059027	0.708363864	0.406771531	0.271253086	0.577454353	0.622484506		0.592391634	0.329076542
pMTG_L	0.187844711	0.212509392	0.260312198	0.224975092	0.161917005	0.19354017	0.267007841	0.223587546	0.399149179	0.434064226	0.183927895	0.336938411	0.396609925	0.572375593	0.168040333	0.516054749	0.397596967	0.592391634		0.222565028
pSFS_L	0.0408394	0.095500256	0.06526496	-0.027155816	0.051913756	0.098238282	0.370122493	0.119630424	0.150479892	0.064307346	0.152338188	0.127904829	0.16364002	0.092785959	0.395613931	0.24345946	0.252771435	0.329076542	0.222565028	
